UniqueCarrier,Airline,AvgCarrierDelay,Airmiles,NumberOfFlights
UA,United Air Lines Inc.,18.02,152721553,141426
AA,American Airlines Inc.,21.34,207596776,191865
US,US Airways Inc.,18.43,95246238,98425
F9,Frontier Airlines Inc.,15.58,25358373,28269
B6,JetBlue Airways,17.68,61285558,55315
OO,Skywest Airlines Inc.,18.55,57923728,130351
WN,Southwest Airlines Co.,11.11,245747679,377602
DL,Delta Air Lines Inc.,19.53,110643100,114238
EV,Atlantic Southeast Airlines,29.6,37482762,80639
HA,Hawaiian Airlines Inc.,33.77,6744672,7490
MQ,American Eagle Airlines Inc.,17.48,61520676,141920
AQ,Aloha Airlines,24.54,667403,750
9E,Endeavor Air,25.51,24030856,51726
OH,Comair,27.3,27025882,52645
YV,Mesa Airlines,37.62,27298456,67011
AS,Alaska Airlines Inc.,20.07,74240464,78586
FL,AirTran,9.33,52186426,71284
XE,Express Jet,16.91,62097256,103663
NW,Northwest Airlines,27,65200422,79108
CO,Continental Airlines,16.9,124241354,100195