IATA_CODE,AIRPORT,CITY,STATE,COUNTRY,LATITUDE,LONGITUDE
ASE,Aspen-Pitkin County Airport,Aspen,CO,USA,39.22316,-106.86885
ATL,Hartsfield-Jackson Atlanta International Airport,Atlanta,GA,USA,33.64044,-84.42694
BLI,Bellingham International Airport,Bellingham,WA,USA,48.79275,-122.53753
BPT,Jack Brooks Regional Airport,Beaumont/Port Arthur,TX,USA,29.95083,-94.02069
CMX,Houghton County Memorial Airport,Hancock,MI,USA,47.16842,-88.48906
DFW,Dallas/Fort Worth International Airport,Dallas-Fort Worth,TX,USA,32.89595,-97.03720
DRO,Durango-La Plata County Airport,Durango,CO,USA,37.15152,-107.75377
DTW,Detroit Metropolitan Airport,Detroit,MI,USA,42.21206,-83.34884
EWR,Newark Liberty International Airport,Newark,NJ,USA,40.69250,-74.16866
IAD,Washington Dulles International Airport,Chantilly,VA,USA,38.94453,-77.45581
JFK,John F. Kennedy International Airport,New York,NY,USA,40.63975,-73.77893
LAS,McCarran International Airport,Las Vegas,NV,USA,36.08036,-115.15233
LAW,Lawton-Fort Sill Regional Airport,Lawton,OK,USA,34.56771,-98.41664
LAX,Los Angeles International Airport,Los Angeles,CA,USA,33.94254,-118.40807
LCH,Lake Charles Regional Airport,Lake Charles,LA,USA,30.12610,-93.22340
MSP,Minneapolis-Saint Paul International Airport,Minneapolis,MN,USA,44.88055,-93.21692
ORD,Chicago O'Hare International Airport,Chicago,IL,USA,41.97960,-87.90446
SCE,University Park Airport,State College,PA,USA,40.85121,-77.84630
SDF,Louisville International Airport,Louisville,KY,USA,38.17439,-85.73600
SEA,Seattle-Tacoma International Airport,Seattle,WA,USA,47.44898,-122.30931
SFO,San Francisco International Airport,San Francisco,CA,USA,37.61900,-122.37484
TWF,Magic Valley Regional Airport,Twin Falls,ID,USA,42.48180,-114.48774
TXK,Texarkana Regional Airport,Texarkana,AR,USA,33.45371,-93.99102
TYS,McGhee Tyson Airport,Knoxville,TN,USA,35.81249,-83.99286